age,nettohh,female,educ_low,educ_med,educ_high,occup_market,occup_house,occup_retired,occup_else,partner,nkids,ID,e_star,e_double_star
34,2525,0,1,0,0,0,0,0,1,1,2,57,0.489217272719543,0.291762013723201
34,2525,0,1,0,0,1,0,0,0,1,0,58,0.847554092637438,0.692100499720254
34,2525,0,1,0,0,1,0,0,0,1,1,59,0.616976992161653,0.491871800062654
34,2525,0,1,0,0,1,0,0,0,1,2,60,0.465667002987175,0.434975017844408
34,2525,1,0,0,1,0,0,0,1,1,2,61,0.756850740792288,0.425895701155241
34,2525,1,0,0,1,0,1,0,0,1,2,62,0.996967546459928,0.952043672579748
34,2525,1,0,0,1,1,0,0,0,0,0,63,0.681382433635008,0.503874619062117
34,2525,1,0,0,1,1,0,0,0,0,1,64,0.593179049938044,0.429694248487067
34,2525,1,0,0,1,1,0,0,0,1,0,65,0.657413521148555,0.551272880671604
34,2525,1,0,0,1,1,0,0,0,1,1,66,1,0.970875098886609
34,2525,1,0,0,1,1,0,0,0,1,2,67,0.662854141053685,0.561807172802219
34,2525,1,0,1,0,0,0,0,1,1,1,68,0.648616681144631,0.57141186651279
34,2525,1,0,1,0,0,0,0,1,1,2,69,0.540067182249913,0.411375170187966
34,2525,1,0,1,0,0,1,0,0,1,2,70,0.613792756288603,0.481068177054112
34,2525,1,0,1,0,1,0,0,0,0,2,71,1,0.237226277378795
34,2525,1,0,1,0,1,0,0,0,1,0,72,0.713284971709072,0.673725736960478
34,2525,1,0,1,0,1,0,0,0,1,1,73,0.829283038219728,0.645153992554697
34,2525,1,0,1,0,1,0,0,0,1,2,74,0.62096583130915,0.55238496367383
34,2525,1,1,0,0,0,0,0,1,0,2,75,1,1
34,2525,1,1,0,0,0,0,0,1,1,1,76,0.706332802139514,0.486561503792473
34,2525,1,1,0,0,0,0,0,1,1,2,77,0.50545853361109,0.360643720872758
34,2525,1,1,0,0,0,1,0,0,1,1,78,1,0.966716276547231
34,2525,1,1,0,0,0,1,0,0,1,2,79,0.699468337603321,0.266101694920508
34,2525,1,1,0,0,1,0,0,0,0,0,80,0.786851435645076,0.407359387543693
34,2525,1,1,0,0,1,0,0,0,1,1,81,0.612647135763837,0.46552445722773
34,2525,1,1,0,0,1,0,0,0,1,2,82,0.374331550796342,0.179738562095736
34,3700,0,0,0,1,1,0,0,0,1,0,83,0.428575838966935,0.229755178901542
34,3700,0,0,0,1,1,0,0,0,1,1,84,0.812116405759298,0.739834673811856
34,3700,0,0,0,1,1,0,0,0,1,2,85,0.552310764083813,0.406278914982977
34,3700,0,0,1,0,0,0,0,1,1,2,86,0.639629200457421,0.204142011840304
34,3700,0,0,1,0,1,0,0,0,0,0,87,0.984328837505018,0.977906787353277
34,3700,0,0,1,0,1,0,0,0,1,0,88,0.344963373841892,0.279877077169658
34,3700,0,0,1,0,1,0,0,0,1,1,89,0.659373854046862,0.427415658232349
34,3700,0,0,1,0,1,0,0,0,1,2,90,0.837130801686726,0.837130801686726
34,3700,0,1,0,0,0,0,0,1,0,2,91,0.985467495069315,0.974770642198564
34,3700,0,1,0,0,0,0,0,1,1,1,92,0.933011619788886,0.917176778973953
34,3700,0,1,0,0,0,0,0,1,1,2,93,0.513321492013347,0.440477725489473
34,3700,0,1,0,0,1,0,0,0,0,0,94,1,0.889997566315287
34,3700,0,1,0,0,1,0,0,0,0,2,95,1,0.956455943603942
34,3700,0,1,0,0,1,0,0,0,1,0,96,0.98206980847317,0.890595168071741
34,3700,0,1,0,0,1,0,0,0,1,2,97,0.573037857808231,0.573037857808231
34,3700,1,0,0,1,0,0,0,1,1,0,98,0.986209590417275,0.976627207746787
34,3700,1,0,0,1,0,0,0,1,1,1,99,0.880271126174193,0.654893229431764
34,3700,1,0,0,1,0,1,0,0,1,2,100,0.883380712031794,0.751074152234651
34,3700,1,0,0,1,1,0,0,0,0,0,101,0.999932967468339,0.980154355020204
34,3700,1,0,0,1,1,0,0,0,0,2,102,0.996172315404692,0.949755340734555
34,3700,1,0,0,1,1,0,0,0,1,0,103,0.627458599868987,0.401854698538955
34,3700,1,0,0,1,1,0,0,0,1,1,104,0.636796885482909,0.204059829055041
34,3700,1,0,0,1,1,0,0,0,1,2,105,0.464601159888844,0.447324637651036
